科名,family_c,學名,主要中名,refsource之第一筆,參考連結之第一筆
Adelidae,長角蛾科,Nemophora ahenea,紅長角蛾,認識台灣的昆蟲  20 長角蛾科 穀蛾科麥蛾科和其他一些小蛾類 ;  Page : 5,#https://www.facebook.com/photo.php?fbid=412170742146998&set=o.177883715557195&type=1&theater#
Adelidae,長角蛾科,Nemophora decisella,黃帶長角蛾,認識台灣的昆蟲  20 長角蛾科 穀蛾科麥蛾科和其他一些小蛾類 ;  Page : 10,#https://www.facebook.com/photo.php?fbid=651055474942661&set=o.177883715557195&type=1&permPage=1#
Adelidae,長角蛾科,Nemophora sakaii,鑲黃帶長角蛾,認識台灣的昆蟲  20 長角蛾科 穀蛾科麥蛾科和其他一些小蛾類 ;  Page : 17,#https://www.facebook.com/photo.php?fbid=665787260159186&set=o.177883715557195&type=1&permPage=1#
Bombycidae,樺蛾科,Andraca theae,茶蠶蛾,認識台灣的昆蟲 9 蠶蛾科 波紋蛾科 刺蛾科 枯葉蛾科天蛾科 ;  Page : 19,#https://www.facebook.com/photo.php?fbid=208849225902828&set=o.177883715557195&type=3&theater#
Bombycidae,蠶蛾科,Bombyx mandarina formosana,端褐蠶蛾,認識台灣的昆蟲 9 蠶蛾科 波紋蛾科 刺蛾科 枯葉蛾科天蛾科 ;  Page : 8,#https://www.facebook.com/photo.php?fbid=515896571850140&set=o.177883715557195&type=1&permPage=1#
Bombycidae,蠶蛾科,Bombyx rotundapex,黃蠶蛾,認識台灣的昆蟲 9 蠶蛾科 波紋蛾科 刺蛾科 枯葉蛾科天蛾科 ;  Page : 24,#https://www.facebook.com/photo.php?fbid=10201103217822460&set=o.458912734201477&type=3&theater#
Bombycidae,蠶蛾科,Ernolatia moorei,黑點白蠶蛾,認識台灣的昆蟲 9 蠶蛾科 波紋蛾科 刺蛾科 枯葉蛾科天蛾科 ;  Page : 11,
Bombycidae,樺蛾科,Mustilia sphingiformis gerontica,鉤翅赭蠶蛾,認識台灣的昆蟲 9 蠶蛾科 波紋蛾科 刺蛾科 枯葉蛾科天蛾科 ;  Page : 18,#https://www.facebook.com/photo.php?fbid=246280512242084&set=oa.649039165188832&type=1&theater#
Bombycidae,蠶蛾科,Prismosticta fenestrata,小窗蠶蛾,認識台灣的昆蟲 9 蠶蛾科 波紋蛾科 刺蛾科 枯葉蛾科天蛾科 ;  Page : 22,#https://www.facebook.com/photo.php?fbid=472347002779439&set=o.177883715557195&type=1&theater#
Bombycidae,蠶蛾科,Trilocha varians,三角斑褐蠶蛾,認識台灣的昆蟲 9 蠶蛾科 波紋蛾科 刺蛾科 枯葉蛾科天蛾科 ;  Page : 15,#https://www.facebook.com/photo.php?fbid=334174500073689&set=o.458912734201477&type=3&theater#
Bombycidae,蠶蛾科,Triuncina brunnea,褐斑白蠶蛾,認識台灣的昆蟲 9 蠶蛾科 波紋蛾科 刺蛾科 枯葉蛾科天蛾科 ;  Page : 13,#https://www.facebook.com/photo.php?fbid=10201205782026501&set=o.458912734201477&type=3&theater#
Brahmaeidae,籮紋蛾科,Brahmaea wallichii insulata,枯球籮紋蛾,認識台灣的昆蟲 10 蘿紋娥科 帶蛾科 大?蛾科 ?蛾科 舟蛾科 ;  Page : 5,#https://www.facebook.com/photo.php?fbid=320283398129944&set=o.458912734201477&type=3&theater#
Callidulidae,錨紋蛾科,Callidula attenuata,,,#https://www.facebook.com/photo.php?fbid=399653520073290&set=o.177883715557195&type=3&theater#
Callidulidae,錨紋蛾科,Pterodecta felderi,,,#https://www.facebook.com/photo.php?fbid=151486458317294&set=o.177883715557195&type=1&permPage=1#
Callidulidae,錨紋蛾科,Tetragonus catamitus,,,#https://www.facebook.com/photo.php?fbid=10152187578645583&set=oa.685087791583969&type=3&permPage=1#
Choreutidae,偽捲蛾科,Choreutis amethystodes,,認識台灣的昆蟲  20 長角蛾科 穀蛾科麥蛾科和其他一些小蛾類 ;  Page : 200,#https://www.facebook.com/photo.php?fbid=614664898551403&set=oa.480638538695563&type=3&theater#
Choreutidae,偽捲蛾科,Choreutis basalis,,認識台灣的昆蟲  20 長角蛾科 穀蛾科麥蛾科和其他一些小蛾類 ;  Page : 201,#https://www.facebook.com/photo.php?fbid=614665281884698&set=oa.480638538695563&type=3&theater#
Choreutidae,偽捲蛾科,Choreutis sexfasciella,,,#https://www.facebook.com/photo.php?fbid=772572689428001&set=o.177883715557195&type=1&permPage=1#
Choreutidae,偽捲蛾科,Choreutis xanthogramma,,認識台灣的昆蟲  20 長角蛾科 穀蛾科麥蛾科和其他一些小蛾類 ;  Page : 204,#https://www.facebook.com/photo.php?fbid=615114641839762&set=oa.480269582065792&type=3&theater#
Choreutidae,偽捲蛾科,Choreutis yakushimensis,,,#https://www.facebook.com/photo.php?fbid=856548281028985&set=o.177883715557195&type=1&permPage=1#
Choreutidae,偽捲蛾科,Saptha divitiosa,,認識台灣的昆蟲  20 長角蛾科 穀蛾科麥蛾科和其他一些小蛾類 ;  Page : 208,#https://www.facebook.com/photo.php?fbid=690494084320687&set=o.177883715557195&type=1&permPage=1#
Cossidae,蠹蛾科,Xyleutes strix formosicola,梟斑蠹蛾,認識台灣的昆蟲 6 鱗翅目王蛾科　木蠹蛾科 ;  Page : 116,#https://www.facebook.com/photo.php?fbid=629156983835654&set=o.458912734201477&type=3&theater#
Cossidae,蠹蛾科,Zeuzera multistrigata,大豹斑蠹蛾,認識台灣的昆蟲 6 鱗翅目王蛾科　木蠹蛾科 ;  Page : 109,#https://www.facebook.com/photo.php?fbid=288144081321010&set=oa.467684346657649&type=3&theater#
Crambidae,草螟科,Aethaloessa calidalis tiphalis,,,#http://www.facebook.com/photo.php?fbid=403027139728025&set=o.177883715557195&type=1&ref=nf#
Crambidae,草螟科,Analthes insignis,,,#https://www.facebook.com/photo.php?fbid=459157547505116&set=oa.458927214200029&type=3&theater#
